host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2019-07-12,Belm,38.67128,-9.23064,Entire home/apt,6,95.0,2,1125,0,72,21,8,2,2019-08-11,2022-09-03,4.86,4.76,1,0.56,1156.0,1.0,0,1,0,0,1130.0,3 years - 4 years,11.0,0-2 weeks
2014-10-05,Aveiras de Cima,39.1659,-8.88479,Private room,2,25.0,1,1125,12,338,8,8,1,2022-05-25,2022-08-31,5.0,4.63,1,2.14,2897.0,1.0,0,1,0,0,112.0,0-6 months,14.0,0-2 weeks
2018-03-01,Lourinh e Atalaia,39.30664,-9.3376,Entire home/apt,6,65.0,5,1125,29,269,37,16,1,2019-04-20,2022-08-18,4.78,4.28,2,0.89,1654.0,3.0,0,1,1,0,1243.0,3 years - 4 years,27.0,2-8 weeks
2018-04-22,Carcavelos e Parede,38.68436,-9.3511,Entire home/apt,4,174.0,2,90,0,24,10,10,3,2022-03-27,2022-08-26,4.6,4.9,20,1.75,1602.0,3.0,0,1,1,1,171.0,0-6 months,19.0,2-8 weeks
2018-09-04,Lourinh e Atalaia,39.308548,-9.338993,Entire home/apt,4,59.0,3,25,20,170,12,5,3,2019-01-03,2022-08-29,4.25,4.83,3,0.27,1467.0,1.0,0,1,0,0,1350.0,3 years - 4 years,16.0,2-8 weeks
2017-03-23,Santo Isidoro,38.98794,-9.42085,Shared room,1,25.0,2,1125,0,256,47,5,0,2017-07-15,2022-04-05,4.91,4.81,7,0.75,1997.0,3.0,0,1,0,1,1887.0,5 years - 6 years,162.0,2-6 months
2010-04-12,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,3,54.0,2,21,4,304,166,45,4,2014-04-24,2022-09-11,4.78,4.89,1,1.62,4534.0,1.0,0,1,1,1,3065.0,+7 years,3.0,0-2 weeks
2013-08-06,Estrela,38.684052,-9.154102,Private room,2,29.0,1,14,9,209,29,29,5,2022-04-05,2022-09-12,4.9,4.62,2,5.37,3322.0,1.0,0,0,1,0,162.0,0-6 months,2.0,0-2 weeks
2010-05-16,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,4,90.0,5,1125,0,8,353,22,2,2011-01-01,2022-09-05,4.58,4.83,1,2.48,4500.0,1.0,0,1,0,1,4274.0,+7 years,9.0,0-2 weeks
2010-05-17,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,4,60.0,2,1125,1,268,339,56,4,2012-05-22,2022-09-09,4.79,4.87,1,2.7,4499.0,1.0,0,1,0,1,3767.0,+7 years,5.0,0-2 weeks
2022-07-01,Estrela,38.6841093,-9.1524529,Entire home/apt,4,140.0,4,1125,0,313,6,6,1,2022-07-20,2022-08-19,5.0,4.83,1,3.21,71.0,1.0,1,1,1,0,56.0,0-6 months,26.0,2-8 weeks
2019-03-10,So Bartolomeu dos Galegos e Moledo,39.331122,-9.2713687,Private room,3,52.0,1,10,30,360,19,19,8,2022-06-14,2022-09-11,4.84,4.58,2,6.2,1280.0,1.0,0,0,1,0,92.0,0-6 months,3.0,0-2 weeks
2015-03-09,Cascais e Estoril,38.69384,-9.37473,Entire home/apt,4,146.0,3,180,11,52,11,11,1,2022-05-25,2022-08-18,4.55,4.82,5,2.95,2742.0,1.0,0,1,0,0,112.0,0-6 months,27.0,2-8 weeks
2015-08-07,Estrela,38.68557,-9.15016,Entire home/apt,5,90.0,2,9,11,18,5,5,2,2022-07-11,2022-09-01,5.0,5.0,1,2.31,2591.0,1.0,0,1,1,0,65.0,0-6 months,13.0,0-2 weeks
2010-05-20,Avenidas Novas,38.74571,-9.15264,Entire home/apt,3,60.0,5,365,0,203,47,4,0,2010-07-24,2021-12-21,4.67,4.68,1,0.32,4496.0,1.0,1,1,0,1,4435.0,+7 years,267.0,6-12 months
2010-06-01,Misericrdia,38.71062,-9.149,Entire home/apt,2,81.0,1,1125,2,323,135,15,7,2011-10-12,2022-09-08,4.45,4.76,7,1.01,4484.0,1.0,0,1,0,0,3990.0,+7 years,6.0,0-2 weeks
2010-08-31,Misericrdia,38.71195,-9.14463,Entire home/apt,2,70.0,5,365,0,229,28,10,3,2011-07-18,2022-09-02,4.3,4.59,6,0.21,4393.0,1.5,0,1,0,1,4076.0,+7 years,12.0,0-2 weeks
2019-02-19,"Manique do Intendente, V.N.de S.Pedro e Maussa",39.1631,-8.83383,Private room,2,50.0,1,1125,0,247,64,9,0,2019-07-21,2022-02-27,4.8,4.8,4,1.67,1299.0,1.0,0,0,0,0,1151.0,3 years - 4 years,199.0,6-12 months
2017-11-04,Belm,38.6708,-9.23035,Entire home/apt,5,150.0,3,1125,23,338,9,5,1,2018-07-17,2022-08-17,4.88,4.75,2,0.18,1771.0,1.0,0,1,0,1,1520.0,5 years - 6 years,28.0,2-8 weeks
2018-05-21,Misericrdia,38.68663,-9.14882,Private room,2,39.0,3,29,24,316,60,13,2,2018-06-27,2022-09-03,4.43,4.78,11,1.17,1573.0,1.0,0,0,0,0,1540.0,5 years - 6 years,11.0,0-2 weeks
2010-08-31,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,4,84.0,5,1125,0,149,45,12,2,2015-04-05,2022-08-27,4.93,4.98,1,0.5,4393.0,1.0,0,1,1,0,2719.0,+7 years,18.0,2-8 weeks
2021-10-22,Vila Franca de Xira,38.9133,-8.88915,Private room,5,74.0,2,365,21,356,11,11,3,2022-03-21,2022-09-05,4.82,4.73,1,1.86,323.0,1.5,0,1,0,0,177.0,0-6 months,9.0,0-2 weeks
2022-07-06,Estrela,38.67812,-9.16204,Entire home/apt,4,100.0,4,365,9,329,1,1,1,2022-08-21,2022-08-21,5.0,5.0,1,1.0,66.0,1.5,1,1,1,0,24.0,0-6 months,24.0,2-8 weeks
2015-03-30,Estrela,38.68053,-9.16025,Entire home/apt,4,70.0,3,30,0,106,75,0,0,2017-07-04,2021-09-02,4.76,4.55,2,1.19,2721.0,1.0,1,1,1,1,1898.0,5 years - 6 years,377.0,1+ year
2015-10-07,Estrela,38.68209,-9.15679,Private room,5,120.0,1,365,15,350,1,1,0,2022-06-27,2022-06-27,5.0,5.0,4,0.38,2530.0,1.0,1,1,0,0,79.0,0-6 months,79.0,2-6 months
2015-11-24,Cadaval e Pro Moniz,39.23414,-9.14423,Entire home/apt,6,103.0,3,21,16,176,25,6,1,2018-07-26,2022-08-21,4.92,4.52,1,0.5,2482.0,3.0,0,1,0,0,1511.0,5 years - 6 years,24.0,2-8 weeks
2010-09-09,Estrela,38.70388,-9.16546,Entire home/apt,4,60.0,2,365,0,75,37,0,0,2011-12-13,2019-11-05,4.52,4.52,2,0.28,4384.0,2.0,0,1,0,0,3928.0,+7 years,1044.0,1+ year
2017-01-05,Painho e Figueiros,39.31746,-9.06483,Entire home/apt,8,161.0,1,28,28,363,6,1,0,2018-08-27,2022-07-30,4.67,4.33,1,0.12,2074.0,3.0,0,1,0,1,1479.0,5 years - 6 years,46.0,2-8 weeks
2011-09-20,Santa Maria Maior,38.71102,-9.12995,Shared room,2,42.0,1,1125,4,321,349,48,9,2012-12-03,2022-09-13,4.78,4.91,2,2.93,4008.0,1.0,1,1,0,0,3572.0,+7 years,1.0,0-2 weeks
2017-10-29,Estrela,38.67932,-9.16278,Entire home/apt,6,150.0,1,1125,23,83,4,4,4,2022-08-19,2022-09-09,4.25,5.0,1,4.0,1777.0,1.0,0,1,1,0,26.0,0-6 months,5.0,0-2 weeks
2018-01-23,So Bartolomeu dos Galegos e Moledo,39.33203,-9.27117,Private room,2,47.0,1,10,12,342,9,3,0,2019-09-05,2022-06-15,4.33,4.56,2,0.24,1691.0,1.0,0,0,0,0,1105.0,3 years - 4 years,91.0,2-6 months
2011-05-25,So Vicente,38.71478,-9.1241,Entire home/apt,3,70.0,3,365,2,316,165,17,3,2012-05-11,2022-08-31,4.43,4.74,3,1.31,4126.0,1.0,0,0,0,1,3778.0,+7 years,14.0,0-2 weeks
2011-09-26,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80669,-9.397194,Entire home/apt,6,200.0,4,365,12,310,54,9,1,2013-06-17,2022-08-24,4.81,4.83,1,0.48,4002.0,2.5,0,1,1,1,3376.0,+7 years,21.0,2-8 weeks
2010-10-25,So Vicente,38.71851,-9.12439,Entire home/apt,2,112.0,3,180,15,349,167,24,0,2011-01-05,2022-08-13,4.61,4.53,7,1.17,4338.0,1.0,0,1,1,1,4270.0,+7 years,32.0,2-8 weeks
2013-06-14,Belm,38.6707626,-9.1949132,Private room,4,57.0,2,365,0,270,13,13,2,2022-06-29,2022-09-06,4.77,4.77,1,5.06,3375.0,1.5,0,1,1,0,77.0,0-6 months,8.0,0-2 weeks
2021-05-14,Estrela,38.67631,-9.15989,Private room,2,40.0,3,30,8,324,8,8,0,2022-05-22,2022-07-28,4.88,4.88,4,2.09,484.0,1.5,0,0,0,0,115.0,0-6 months,48.0,2-8 weeks
2011-01-05,So Vicente,38.719852,-9.129011,Entire home/apt,2,80.0,3,60,4,122,243,30,1,2011-08-16,2022-08-16,4.44,4.67,2,1.8,4266.0,1.0,0,1,0,0,4047.0,+7 years,29.0,2-8 weeks
2011-10-18,Colares,38.840667724609375,-9.46168041229248,Entire home/apt,6,200.0,5,1125,24,351,28,1,0,2012-07-21,2022-07-09,4.48,4.89,1,0.23,3980.0,1.0,0,1,0,0,3707.0,+7 years,67.0,2-6 months
2016-06-29,Estrela,38.67674,-9.15576,Private room,1,20.0,2,7,0,247,1,0,0,2021-08-15,2021-08-15,5.0,5.0,1,0.08,2264.0,1.0,0,1,1,0,395.0,1 year - 2 years,395.0,1+ year
2011-05-31,Santa Maria Maior,38.71379,-9.13521,Entire home/apt,2,83.0,7,366,2,326,437,18,1,2011-11-18,2022-08-27,4.67,4.81,2,3.32,4120.0,1.0,1,1,1,1,3953.0,+7 years,18.0,2-8 weeks
2011-10-19,Arroios,38.71686,-9.14014,Entire home/apt,2,104.0,3,730,1,281,55,22,1,2012-08-28,2022-08-19,4.73,4.51,14,0.45,3979.0,1.0,1,1,1,1,3669.0,+7 years,26.0,2-8 weeks
2011-10-19,Misericrdia,38.71004,-9.15209,Entire home/apt,2,83.0,2,350,1,288,194,11,6,2011-11-08,2022-09-10,4.88,4.88,5,1.47,3979.0,1.0,0,1,1,1,3963.0,+7 years,4.0,0-2 weeks
2010-05-27,Campo de Ourique,38.71879,-9.15853,Entire home/apt,2,100.0,14,200,7,236,3,3,0,2022-05-05,2022-07-29,5.0,5.0,1,0.68,4489.0,1.0,0,1,1,0,132.0,0-6 months,47.0,2-8 weeks
2013-09-02,Estrela,38.6877,-9.14972,Entire home/apt,2,103.0,3,90,1,78,22,14,1,2019-08-24,2022-08-27,4.86,4.91,4,0.59,3295.0,1.0,0,1,0,1,1117.0,3 years - 4 years,18.0,2-8 weeks
2017-09-26,So Vicente,38.71343,-9.12557,Entire home/apt,2,81.0,3,365,2,308,368,33,2,2012-01-01,2022-08-19,4.73,4.89,14,2.82,1810.0,1.0,0,1,0,0,3909.0,+7 years,26.0,2-8 weeks
2011-10-24,Santa Maria Maior,38.71081,-9.12816,Entire home/apt,4,151.0,3,120,16,64,277,36,1,2012-07-11,2022-08-21,4.65,4.85,1,2.24,3974.0,1.0,1,1,1,1,3717.0,+7 years,24.0,2-8 weeks
2016-05-18,Azambuja,39.02891,-8.79595,Entire home/apt,6,65.0,1,1125,21,356,15,8,1,2017-09-29,2022-09-04,4.6,4.67,2,0.25,2306.0,1.0,0,1,0,1,1811.0,5 years - 6 years,10.0,0-2 weeks
2011-11-05,Misericrdia,38.71165,-9.1463,Entire home/apt,4,77.0,3,90,1,216,338,16,1,2012-02-21,2022-08-24,4.69,4.73,1,2.63,3962.0,1.0,0,1,1,1,3858.0,+7 years,21.0,2-8 weeks
2011-04-27,So Vicente,38.71838,-9.129015,Entire home/apt,4,76.0,2,300,1,299,92,28,5,2016-07-09,2022-09-13,4.74,4.83,12,1.22,4154.0,1.0,0,1,0,0,2258.0,+7 years,1.0,0-2 weeks
2011-02-23,Campolide,38.72729,-9.16317,Entire home/apt,4,80.0,28,1125,0,235,29,5,4,2012-08-19,2022-09-09,4.43,4.08,9,0.24,4217.0,1.0,0,1,0,0,3678.0,+7 years,5.0,0-2 weeks
2021-05-14,Estrela,38.67553,-9.16206,Private room,2,36.0,3,30,8,343,11,11,2,2022-05-23,2022-09-05,4.82,4.73,4,2.89,484.0,1.5,0,0,1,0,114.0,0-6 months,9.0,0-2 weeks
2018-01-23,So Bartolomeu dos Galegos e Moledo,39.33169,-9.27164,Private room,3,50.0,1,10,12,342,77,7,0,2019-07-31,2022-06-05,4.55,4.56,2,2.02,1691.0,1.0,0,0,1,0,1141.0,3 years - 4 years,101.0,2-6 months
2012-08-12,Estrela,38.68504,-9.15012,Private room,2,200.0,1,1125,0,255,5,0,0,2018-05-13,2018-09-15,3.8,4.2,3,0.09,3681.0,1.0,0,0,0,0,1585.0,5 years - 6 years,1460.0,1+ year
2021-10-19,Belm,38.67226,-9.2306,Private room,2,70.0,1,30,5,337,9,9,3,2022-04-01,2022-09-11,5.0,4.89,9,1.63,326.0,1.0,1,1,0,0,166.0,0-6 months,3.0,0-2 weeks
2022-07-08,Estrela,38.6736,-9.16464,Entire home/apt,4,143.0,3,90,0,132,1,1,0,2022-08-13,2022-08-13,5.0,5.0,1,0.94,64.0,1.5,0,1,1,1,32.0,0-6 months,32.0,2-8 weeks
2011-08-30,Santo Antnio,38.7225,-9.15488,Entire home/apt,5,82.0,3,365,0,241,92,10,1,2012-06-09,2022-08-28,4.12,4.59,11,0.74,4029.0,1.0,1,1,1,0,3749.0,+7 years,17.0,2-8 weeks
2011-02-11,Estrela,38.70927,-9.16122,Entire home/apt,4,137.0,3,7,2,12,286,47,3,2011-08-08,2022-09-06,4.88,4.74,8,2.12,4229.0,1.0,0,1,0,1,4055.0,+7 years,8.0,0-2 weeks
2019-03-10,So Bartolomeu dos Galegos e Moledo,39.3320226,-9.2673187,Private room,2,42.0,1,10,29,359,20,20,9,2022-07-10,2022-09-13,4.85,4.6,2,9.09,1280.0,1.0,0,0,0,0,66.0,0-6 months,1.0,0-2 weeks
2020-08-14,So Bartolomeu dos Galegos e Moledo,39.32826,-9.27065,Entire home/apt,3,50.0,3,1125,2,167,3,2,0,2020-10-23,2022-08-06,5.0,5.0,1,0.13,757.0,1.0,1,1,0,0,691.0,1 year - 2 years,39.0,2-8 weeks
2014-07-18,Estrela,38.68252,-9.15102,Entire home/apt,3,120.0,5,1125,20,355,7,7,1,2022-04-11,2022-08-29,5.0,5.0,2,1.35,2976.0,1.0,0,1,0,0,156.0,0-6 months,16.0,2-8 weeks
2011-11-17,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,4,145.0,2,180,3,134,143,49,2,2012-10-17,2022-08-22,4.85,4.94,12,1.19,3950.0,1.0,1,1,1,1,3619.0,+7 years,23.0,2-8 weeks
2011-11-17,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,4,108.0,3,180,3,139,101,30,2,2012-08-21,2022-08-30,4.72,4.93,12,0.82,3950.0,1.0,0,1,0,1,3676.0,+7 years,15.0,2-8 weeks
2011-05-26,Penha de Frana,38.72983,-9.13183,Private room,2,56.0,1,180,22,82,339,66,4,2014-08-07,2022-08-24,4.57,4.5,2,3.43,4125.0,1.0,0,1,1,1,2960.0,+7 years,21.0,2-8 weeks
2011-04-10,Aveiras de Cima,39.16084289550781,-8.877494812011719,Private room,3,50.0,1,730,30,365,3,3,2,2022-08-10,2022-09-01,4.33,3.67,2,2.57,4171.0,1.0,1,1,0,0,35.0,0-6 months,13.0,0-2 weeks
2012-01-26,So Vicente,38.71337,-9.12548,Entire home/apt,4,130.0,4,120,0,274,155,11,1,2012-05-03,2022-08-16,4.74,4.88,5,1.23,3880.0,1.0,1,1,0,1,3786.0,+7 years,29.0,2-8 weeks
2011-06-02,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,3,80.0,2,30,4,137,334,64,8,2011-08-14,2022-09-12,4.74,4.95,2,2.47,4118.0,1.0,0,1,0,1,4049.0,+7 years,2.0,0-2 weeks
2012-02-21,So Vicente,38.71904,-9.13269,Entire home/apt,4,87.0,2,180,3,312,207,20,3,2013-09-29,2022-08-27,4.37,4.83,2,1.9,3854.0,1.0,1,1,0,1,3272.0,+7 years,18.0,2-8 weeks
2011-12-03,Santo Antnio,38.72621,-9.14318,Entire home/apt,10,191.0,3,365,14,309,4,2,0,2017-04-17,2022-05-02,3.75,4.75,7,0.06,3934.0,3.0,0,1,1,1,1976.0,5 years - 6 years,135.0,2-6 months
2011-12-03,Santo Antnio,38.72486,-9.14329,Entire home/apt,6,120.0,3,365,0,228,9,0,0,2014-05-29,2019-11-02,4.22,4.25,7,0.09,3934.0,1.0,0,1,0,1,3030.0,+7 years,1047.0,1+ year
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,7,185.0,5,365,0,253,12,4,0,2013-03-03,2022-07-26,4.33,4.75,4,0.1,4111.0,2.0,0,1,1,0,3482.0,+7 years,50.0,2-8 weeks
2011-06-03,So Vicente,38.71841,-9.1233,Entire home/apt,2,127.0,7,1125,5,338,202,3,2,2011-08-19,2022-09-01,4.51,4.56,2,1.5,4117.0,1.0,0,1,0,1,4044.0,+7 years,13.0,0-2 weeks
2012-04-04,Arroios,38.7338,-9.133,Private room,2,32.0,1,1125,0,305,520,72,2,2012-08-02,2022-08-27,4.61,4.67,2,4.22,3811.0,1.0,0,1,1,1,3695.0,+7 years,18.0,2-8 weeks
2012-04-05,Santo Antnio,38.71956,-9.14255,Entire home/apt,4,109.0,2,1125,4,71,116,10,3,2012-05-22,2022-08-30,4.81,4.94,1,0.92,3810.0,1.0,0,1,1,1,3767.0,+7 years,15.0,2-8 weeks
2011-06-04,Misericrdia,38.71298,-9.14541,Entire home/apt,4,99.0,4,363,4,167,244,13,3,2011-07-13,2022-09-05,4.75,4.89,2,1.79,4116.0,1.0,0,1,1,1,4081.0,+7 years,9.0,0-2 weeks
2011-06-02,Santa Maria Maior,38.71236,-9.13129,Entire home/apt,3,80.0,2,30,3,126,258,58,8,2011-10-25,2022-09-12,4.8,4.95,2,1.95,4118.0,1.0,0,1,1,1,3977.0,+7 years,2.0,0-2 weeks
2011-08-28,Misericrdia,38.71099,-9.14829,Entire home/apt,6,97.0,3,185,0,326,298,16,4,2012-01-31,2022-09-10,4.58,4.81,21,2.3,4031.0,1.0,0,1,1,0,3879.0,+7 years,4.0,0-2 weeks
2013-10-14,Santo Antnio,38.7213,-9.14437,Entire home/apt,2,91.0,2,1125,0,291,600,43,4,2012-02-12,2022-09-08,4.88,4.87,2,4.65,3253.0,1.0,1,1,1,1,3867.0,+7 years,6.0,0-2 weeks
2011-06-08,Santa Maria Maior,38.71231,-9.12918,Entire home/apt,2,52.0,3,365,2,279,432,69,6,2011-07-12,2022-09-05,4.83,4.88,1,3.17,4112.0,1.0,0,1,1,0,4082.0,+7 years,9.0,0-2 weeks
2011-12-31,Arroios,38.72199,-9.14002,Entire home/apt,6,89.0,2,365,5,112,87,12,3,2012-09-11,2022-08-26,4.73,4.76,7,0.71,3906.0,1.0,1,1,0,1,3655.0,+7 years,19.0,2-8 weeks
2011-12-31,Santo Antnio,38.72419,-9.1474,Entire home/apt,4,110.0,3,180,0,55,103,18,2,2012-04-12,2022-08-24,4.87,4.92,7,0.81,3906.0,1.0,1,1,0,1,3807.0,+7 years,21.0,2-8 weeks
2011-07-13,Cadaval e Pro Moniz,39.23805,-9.12181,Entire home/apt,5,89.0,3,60,15,350,92,23,3,2012-09-02,2022-09-11,4.68,4.6,4,0.75,4077.0,1.0,0,1,1,0,3664.0,+7 years,3.0,0-2 weeks
2011-12-31,Arroios,38.72138,-9.13945,Entire home/apt,6,80.0,1,365,2,94,130,10,3,2012-09-22,2022-09-05,4.68,4.56,7,1.07,3906.0,1.0,1,1,0,1,3644.0,+7 years,9.0,0-2 weeks
2011-06-08,Santa Maria Maior,38.71064,-9.13278,Entire home/apt,4,99.0,2,365,2,26,117,8,3,2011-08-31,2022-09-05,4.76,4.94,3,0.87,4112.0,1.5,0,0,0,1,4032.0,+7 years,9.0,0-2 weeks
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,12,207.0,3,380,0,197,30,1,0,2011-11-28,2022-07-25,4.07,4.73,4,0.23,4111.0,2.0,0,1,1,0,3943.0,+7 years,51.0,2-8 weeks
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,7,194.0,5,367,0,250,20,1,0,2013-01-05,2022-07-12,4.2,4.47,4,0.17,4111.0,1.0,1,1,0,0,3539.0,+7 years,64.0,2-6 months
2012-01-06,Misericrdia,38.71279,-9.14503,Entire home/apt,4,80.0,3,1125,0,307,449,37,3,2012-04-17,2022-08-22,4.59,4.83,1,3.54,3900.0,1.0,0,1,1,1,3802.0,+7 years,23.0,2-8 weeks
2011-08-03,Santa Maria Maior,38.71296,-9.1363,Entire home/apt,5,177.0,2,365,2,312,75,19,0,2013-09-30,2022-07-29,4.95,4.96,16,0.69,4056.0,2.0,1,1,0,1,3271.0,+7 years,47.0,2-8 weeks
2012-01-08,Parque das Naes,38.7787,-9.09634,Entire home/apt,4,114.0,3,90,2,293,13,3,0,2013-02-18,2022-08-11,4.75,4.83,1,0.11,3898.0,1.0,1,1,0,1,3495.0,+7 years,34.0,2-8 weeks
2011-06-14,Misericrdia,38.71261,-9.14456,Entire home/apt,4,90.0,2,90,1,121,98,14,0,2011-08-28,2022-08-10,4.7,4.89,9,0.73,4106.0,1.0,1,1,0,1,4035.0,+7 years,35.0,2-8 weeks
2011-06-18,Colares,38.78808,-9.45999,Entire home/apt,6,160.0,5,30,21,276,54,13,3,2012-07-15,2022-09-08,4.91,4.89,1,0.44,4102.0,2.0,0,1,0,1,3713.0,+7 years,6.0,0-2 weeks
2011-06-20,Santa Maria Maior,38.71331,-9.13314,Entire home/apt,3,99.0,1,7,3,219,206,67,5,2012-01-02,2022-08-30,4.89,4.84,3,1.58,4100.0,1.0,0,0,1,1,3908.0,+7 years,15.0,2-8 weeks
2011-06-27,Alcntara,38.70546,-9.17579,Entire home/apt,6,78.0,2,330,4,325,175,31,2,2011-07-17,2022-08-26,4.72,4.56,1,1.29,4093.0,1.0,0,1,0,0,4077.0,+7 years,19.0,2-8 weeks
2012-01-01,Santo Antnio,38.71563,-9.1457,Entire home/apt,6,111.0,3,185,2,38,262,12,3,2012-01-22,2022-08-28,4.73,4.93,1,2.02,3905.0,1.5,0,1,0,0,3888.0,+7 years,17.0,2-8 weeks
2011-04-14,Alvalade,38.74736,-9.13191,Private room,2,45.0,1,1125,0,301,54,8,3,2011-08-28,2022-08-24,4.42,4.34,7,0.4,4167.0,1.0,0,0,1,0,4035.0,+7 years,21.0,2-8 weeks
2011-07-15,Santa Maria Maior,38.71344,-9.13509,Entire home/apt,4,109.0,4,30,4,82,212,1,0,2011-09-19,2022-07-22,4.86,4.82,2,1.58,4075.0,1.5,0,1,1,1,4013.0,+7 years,54.0,2-8 weeks
2011-07-15,Santa Maria Maior,38.71043,-9.13087,Entire home/apt,2,99.0,3,90,0,216,442,47,6,2011-07-30,2022-09-11,4.92,4.92,2,3.26,4075.0,1.0,0,1,1,0,4064.0,+7 years,3.0,0-2 weeks
2011-06-28,Santa Maria Maior,38.71133,-9.13093,Entire home/apt,6,90.0,3,730,4,263,177,17,4,2014-08-20,2022-08-28,4.63,4.82,6,1.8,4092.0,2.0,0,1,0,0,2947.0,+7 years,17.0,2-8 weeks
2011-06-28,Santa Maria Maior,38.70916,-9.13222,Entire home/apt,6,95.0,3,365,2,213,292,38,3,2011-09-05,2022-08-29,4.66,4.85,6,2.17,4092.0,3.0,1,1,0,0,4027.0,+7 years,16.0,2-8 weeks
2012-01-12,Santa Maria Maior,38.71235,-9.1275,Entire home/apt,4,90.0,3,1125,1,286,9,8,2,2017-04-10,2022-08-25,5.0,5.0,3,0.14,3894.0,1.0,0,1,1,0,1983.0,5 years - 6 years,20.0,2-8 weeks
2011-08-03,Santa Maria Maior,38.7129,-9.13817,Entire home/apt,5,154.0,2,365,0,298,158,20,2,2013-06-10,2022-08-26,4.86,4.94,16,1.4,4056.0,2.0,1,1,0,1,3383.0,+7 years,19.0,2-8 weeks
2012-01-12,Santa Maria Maior,38.71252,-9.12911,Entire home/apt,4,83.0,3,1125,4,301,26,23,0,2015-07-21,2022-07-27,4.64,4.68,3,0.3,3894.0,1.0,0,1,1,0,2612.0,+7 years,49.0,2-8 weeks
2011-07-31,Santa Maria Maior,38.71677,-9.13359,Entire home/apt,2,91.0,4,1124,9,43,88,13,0,2016-07-10,2022-06-15,4.58,4.7,5,1.17,4059.0,1.0,0,1,1,0,2257.0,+7 years,91.0,2-6 months
2011-08-01,Santa Maria Maior,38.71095,-9.13192,Entire home/apt,4,170.0,2,30,4,318,472,66,6,2011-10-30,2022-09-10,4.85,4.92,3,3.56,4058.0,1.0,0,1,1,1,3972.0,+7 years,4.0,0-2 weeks
2012-04-14,Colares,38.80579,-9.4721,Entire home/apt,2,102.0,2,1125,17,42,232,16,2,2012-08-28,2022-08-28,4.77,4.76,4,1.9,3801.0,1.0,0,1,1,0,3669.0,+7 years,17.0,2-8 weeks
2012-01-25,Cascais e Estoril,38.70492,-9.39986,Entire home/apt,5,100.0,4,1125,0,0,133,15,0,2014-04-15,2022-08-01,4.71,4.86,2,1.3,3881.0,1.0,0,1,1,1,3074.0,+7 years,44.0,2-8 weeks
2012-04-14,Colares,38.80601,-9.47216,Entire home/apt,2,94.0,2,1125,8,26,159,20,4,2013-09-04,2022-08-24,4.66,4.69,4,1.45,3801.0,1.0,1,1,1,0,3297.0,+7 years,21.0,2-8 weeks
2012-01-25,Santa Maria Maior,38.70989,-9.13637,Entire home/apt,6,130.0,3,25,1,81,319,63,3,2012-04-09,2022-08-29,4.8,4.96,1,2.51,3881.0,1.5,0,1,0,1,3810.0,+7 years,16.0,2-8 weeks
2012-04-24,Misericrdia,38.71441,-9.14908,Private room,2,81.0,3,21,2,26,309,35,1,2013-01-11,2022-08-15,4.83,4.84,1,2.62,3791.0,1.0,0,0,1,0,3533.0,+7 years,30.0,2-8 weeks
2011-05-29,Lumiar,38.77596,-9.15101,Entire home/apt,2,45.0,14,1125,0,292,32,9,1,2016-07-19,2022-08-19,4.65,4.33,1,0.43,4122.0,1.0,0,1,1,1,2248.0,+7 years,26.0,2-8 weeks
2011-08-03,Santa Maria Maior,38.71095,-9.13673,Entire home/apt,5,154.0,2,360,1,218,141,41,4,2012-01-06,2022-09-02,4.92,4.96,16,1.08,4056.0,2.0,1,1,0,1,3904.0,+7 years,12.0,0-2 weeks
2012-04-25,Misericrdia,38.71109,-9.14715,Entire home/apt,2,91.0,3,30,1,214,660,84,7,2012-05-06,2022-09-09,4.98,4.94,1,5.23,3790.0,1.0,1,0,1,1,3783.0,+7 years,5.0,0-2 weeks
2011-06-28,Santa Maria Maior,38.71052,-9.13365,Entire home/apt,4,60.0,3,730,0,139,124,0,0,2013-08-09,2020-09-08,4.7,4.92,6,1.12,4092.0,2.0,0,1,0,0,3323.0,+7 years,736.0,1+ year
2011-06-29,Cascais e Estoril,38.71015,-9.40746,Entire home/apt,3,82.0,3,100,0,197,64,7,0,2012-05-21,2022-08-03,4.45,4.73,2,0.51,4091.0,1.0,0,1,1,0,3768.0,+7 years,42.0,2-8 weeks
