host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2022-03-20,"Santa Iria de Azoia, So Joo da Talha e Bobadela",38.80167,-9.10209,Private room,1,45.0,2,45,21,356,7,7,2,2022-04-19,2022-09-09,5.0,4.57,2,1.42,174.0,1.0,1,1,0,1,148.0,0-6 months,5.0,0-2 weeks
2013-09-20,Estrela,38.7138,-9.16028,Entire home/apt,4,160.0,3,60,7,332,11,11,2,2022-05-24,2022-08-24,5.0,4.91,1,2.89,3277.0,1.0,0,0,1,0,113.0,0-6 months,21.0,2-8 weeks
2019-05-27,Areeiro,38.74154,-9.13118,Entire home/apt,8,185.0,1,365,0,308,10,10,2,2022-04-24,2022-08-28,4.7,4.5,3,2.08,1202.0,2.5,0,1,0,1,143.0,0-6 months,17.0,2-8 weeks
2016-08-05,Arroios,38.73416,-9.13701,Entire home/apt,3,146.0,1,1125,4,252,3,3,0,2022-05-06,2022-07-30,4.0,5.0,28,0.68,2227.0,1.0,0,1,0,1,131.0,0-6 months,46.0,2-8 weeks
2016-06-04,Avenidas Novas,38.74302,-9.15602,Entire home/apt,4,80.0,1,20,2,334,14,14,4,2022-04-08,2022-09-12,4.21,3.71,3,2.63,2289.0,2.0,0,1,0,0,159.0,0-6 months,2.0,0-2 weeks
2014-11-24,Misericrdia,38.70724,-9.14161,Entire home/apt,6,177.0,3,365,6,211,4,4,0,2022-04-25,2022-07-11,4.5,4.75,11,0.84,2847.0,1.0,0,1,0,0,142.0,0-6 months,65.0,2-6 months
2020-06-17,Belm,38.69825,-9.20478,Private room,8,170.0,2,365,12,347,2,2,0,2022-05-02,2022-07-23,4.5,4.0,7,0.44,815.0,3.5,0,1,0,0,135.0,0-6 months,53.0,2-8 weeks
2017-04-02,Santo Antnio,38.72442,-9.14414,Entire home/apt,5,141.0,1,365,11,139,3,3,0,2022-06-03,2022-06-20,4.67,5.0,7,0.87,1987.0,1.0,0,1,0,0,103.0,0-6 months,86.0,2-6 months
2022-03-28,Arroios,38.72911,-9.14309,Entire home/apt,3,77.0,30,1125,8,335,4,4,0,2022-04-30,2022-08-04,3.75,4.25,1,0.87,166.0,1.0,1,1,1,0,137.0,0-6 months,41.0,2-8 weeks
2019-02-09,Santo Antnio,38.72538,-9.14424,Private room,3,78.0,1,365,21,326,27,27,3,2022-04-08,2022-08-30,4.37,4.7,59,5.06,1309.0,1.5,0,0,0,1,159.0,0-6 months,15.0,2-8 weeks
