latitude,longitude,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,time_since_last_review,host_days_active,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
38.840667724609375,-9.46168041229248,6,200.0,5,1125,24,351,28,1,0,4.48,4.89,1,0.23,1.0,0,1,0,0,3707.0,67.0,3984.0,1,0,0,0
38.67674,-9.15576,1,20.0,2,7,0,247,1,0,0,5.0,5.0,1,0.08,1.0,0,1,1,0,395.0,395.0,2268.0,0,0,1,0
38.71379,-9.13521,2,83.0,7,366,2,326,437,18,1,4.67,4.81,2,3.32,1.0,1,1,1,1,3953.0,18.0,4124.0,1,0,0,0
38.71686,-9.14014,2,104.0,3,730,1,281,55,22,1,4.73,4.51,14,0.45,1.0,1,1,1,1,3669.0,26.0,3983.0,1,0,0,0
38.71004,-9.15209,2,83.0,2,350,1,288,194,11,6,4.88,4.88,5,1.47,1.0,0,1,1,1,3963.0,4.0,3983.0,1,0,0,0
38.71879,-9.15853,2,100.0,14,200,7,236,3,3,0,5.0,5.0,1,0.68,1.0,0,1,1,0,132.0,47.0,4493.0,1,0,0,0
38.6877,-9.14972,2,103.0,3,90,1,78,22,14,1,4.86,4.91,4,0.59,1.0,0,1,0,1,1117.0,18.0,3299.0,1,0,0,0
38.71343,-9.12557,2,81.0,3,365,2,308,368,33,2,4.73,4.89,14,2.82,1.0,0,1,0,0,3909.0,26.0,1814.0,1,0,0,0
38.71081,-9.12816,4,151.0,3,120,16,64,277,36,1,4.65,4.85,1,2.24,1.0,1,1,1,1,3717.0,24.0,3978.0,1,0,0,0
39.02891,-8.79595,6,65.0,1,1125,21,356,15,8,1,4.6,4.67,2,0.25,1.0,0,1,0,1,1811.0,10.0,2310.0,1,0,0,0
38.71165,-9.1463,4,77.0,3,90,1,216,338,16,1,4.69,4.73,1,2.63,1.0,0,1,1,1,3858.0,21.0,3966.0,1,0,0,0
38.71838,-9.129015,4,76.0,2,300,1,299,92,28,5,4.74,4.83,12,1.22,1.0,0,1,0,0,2258.0,1.0,4158.0,1,0,0,0
38.72729,-9.16317,4,80.0,28,1125,0,235,29,5,4,4.43,4.08,9,0.24,1.0,0,1,0,0,3678.0,5.0,4221.0,1,0,0,0
38.67553,-9.16206,2,36.0,3,30,8,343,11,11,2,4.82,4.73,4,2.89,1.5,0,0,1,0,114.0,9.0,488.0,0,0,1,0
39.33169,-9.27164,3,50.0,1,10,12,342,77,7,0,4.55,4.56,2,2.02,1.0,0,0,1,0,1141.0,101.0,1695.0,0,0,1,0
38.68504,-9.15012,2,200.0,1,1125,0,255,5,0,0,3.8,4.2,3,0.09,1.0,0,0,0,0,1585.0,1460.0,3685.0,0,0,1,0
38.67226,-9.2306,2,70.0,1,30,5,337,9,9,3,5.0,4.89,9,1.63,1.0,1,1,0,0,166.0,3.0,330.0,0,0,1,0
38.6736,-9.16464,4,143.0,3,90,0,132,1,1,0,5.0,5.0,1,0.94,1.5,0,1,1,1,32.0,32.0,68.0,1,0,0,0
38.7225,-9.15488,5,82.0,3,365,0,241,92,10,1,4.12,4.59,11,0.74,1.0,1,1,1,0,3749.0,17.0,4033.0,1,0,0,0
38.70927,-9.16122,4,137.0,3,7,2,12,286,47,3,4.88,4.74,8,2.12,1.0,0,1,0,1,4055.0,8.0,4233.0,1,0,0,0
39.3320226,-9.2673187,2,42.0,1,10,29,359,20,20,9,4.85,4.6,2,9.09,1.0,0,0,0,0,66.0,1.0,1284.0,0,0,1,0
39.32826,-9.27065,3,50.0,3,1125,2,167,3,2,0,5.0,5.0,1,0.13,1.0,1,1,0,0,691.0,39.0,761.0,1,0,0,0
38.68252,-9.15102,3,120.0,5,1125,20,355,7,7,1,5.0,5.0,2,1.35,1.0,0,1,0,0,156.0,16.0,2980.0,1,0,0,0
38.71291,-9.14234,4,145.0,2,180,3,134,143,49,2,4.85,4.94,12,1.19,1.0,1,1,1,1,3619.0,23.0,3954.0,1,0,0,0
38.71291,-9.14234,4,108.0,3,180,3,139,101,30,2,4.72,4.93,12,0.82,1.0,0,1,0,1,3676.0,15.0,3954.0,1,0,0,0
38.72983,-9.13183,2,56.0,1,180,22,82,339,66,4,4.57,4.5,2,3.43,1.0,0,1,1,1,2960.0,21.0,4129.0,0,0,1,0
39.16084289550781,-8.877494812011719,3,50.0,1,730,30,365,3,3,2,4.33,3.67,2,2.57,1.0,1,1,0,0,35.0,13.0,4175.0,0,0,1,0
38.71337,-9.12548,4,130.0,4,120,0,274,155,11,1,4.74,4.88,5,1.23,1.0,1,1,0,1,3786.0,29.0,3884.0,1,0,0,0
38.71091,-9.13251,3,80.0,2,30,4,137,334,64,8,4.74,4.95,2,2.47,1.0,0,1,0,1,4049.0,2.0,4122.0,1,0,0,0
38.71904,-9.13269,4,87.0,2,180,3,312,207,20,3,4.37,4.83,2,1.9,1.0,1,1,0,1,3272.0,18.0,3858.0,1,0,0,0
