host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating
2015-10-15,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80289,-9.38102,Entire home/apt,4,71.0,1,1125,1,27,177,26,0,2015-10-21,2022-08-09,4.85,4.86,5,2.11,1.0,0,1,0,0
2015-10-04,Ericeira,38.97052,-9.41785,Entire home/apt,4,70.0,5,1125,5,339,97,19,2,2015-10-24,2022-08-25,4.85,4.92,2,1.16,1.0,0,1,1,0
2014-11-07,Santa Maria Maior,38.71058,-9.13323,Entire home/apt,4,165.0,3,100,9,344,38,21,1,2016-05-05,2022-08-16,4.86,4.97,8,0.49,2.0,1,1,0,1
2015-10-27,Arroios,38.7222,-9.13718,Entire home/apt,2,50.0,3,1125,5,297,265,29,1,2016-03-06,2022-08-23,4.85,4.65,1,3.33,1.0,0,0,1,0
2015-10-27,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.82416,-9.43397,Private room,1,38.0,1,1125,20,351,181,40,0,2015-11-08,2022-08-10,4.71,4.79,5,2.17,1.5,0,0,0,1
2014-06-09,Cascais e Estoril,38.70824,-9.41778,Entire home/apt,4,135.0,3,1125,7,333,27,4,1,2016-07-21,2022-08-16,4.56,4.35,3,0.36,1.5,0,1,0,0
2013-06-28,So Vicente,38.71939,-9.12254,Entire home/apt,2,70.0,3,60,0,76,126,15,1,2015-12-03,2022-08-21,4.79,4.59,5,1.53,1.0,0,1,1,1
2013-12-01,Moscavide e Portela,38.77901,-9.10081,Entire home/apt,5,86.0,2,1125,7,333,52,17,2,2015-11-11,2022-08-29,4.71,4.48,16,0.62,1.0,0,1,0,0
2014-08-05,Estrela,38.7079,-9.15671,Entire home/apt,4,110.0,3,1125,2,191,141,21,1,2016-02-13,2022-08-27,4.87,4.85,2,1.76,2.0,1,1,0,1
2012-08-13,Misericrdia,38.70902,-9.14701,Entire home/apt,4,95.0,2,360,3,141,212,50,5,2015-11-27,2022-09-08,4.61,4.85,12,2.56,1.0,0,1,0,1
2015-10-30,Santa Maria Maior,38.71002,-9.13307,Entire home/apt,4,85.0,3,20,2,164,365,69,5,2015-11-09,2022-09-12,4.93,4.96,1,4.38,1.0,1,1,0,0
2014-07-13,Arroios,38.71563,-9.13925,Entire home/apt,4,82.0,1,1125,3,129,462,54,3,2015-11-17,2022-08-29,4.32,4.8,12,5.56,1.0,0,1,0,0
2013-02-10,Parque das Naes,38.76645,-9.09815,Entire home/apt,3,202.0,1,1125,13,169,15,6,0,2016-02-26,2022-06-13,4.57,4.79,21,0.19,1.0,1,1,0,1
2015-01-21,Santo Antnio,38.71987,-9.14296,Entire home/apt,4,127.0,3,90,6,133,125,18,1,2015-11-15,2022-08-28,4.88,4.89,3,1.5,1.0,0,1,0,1
2014-10-02,Santa Maria Maior,38.71082,-9.12997,Entire home/apt,6,91.0,3,365,3,50,15,8,2,2015-12-30,2022-09-12,4.36,4.67,11,0.18,2.0,1,1,0,1
2015-10-17,Avenidas Novas,38.72873,-9.14966,Hotel room,3,83.0,1,1125,1,310,60,58,2,2021-07-20,2022-09-12,4.58,4.63,6,4.27,1.0,0,1,0,0
2015-03-03,Cascais e Estoril,38.69687,-9.42345,Entire home/apt,3,130.0,3,1125,3,105,64,3,2,2016-03-15,2022-08-28,4.97,4.95,1,0.81,1.0,1,1,1,0
2011-11-07,Santa Maria Maior,38.71487,-9.1336,Private room,2,76.0,1,1125,1,3,13,6,0,2016-08-25,2022-07-22,4.77,4.85,8,0.18,1.0,0,0,1,1
2015-10-31,Arroios,38.72014,-9.13754,Entire home/apt,4,90.0,3,1124,2,218,217,38,3,2016-03-25,2022-09-08,4.97,4.78,1,2.75,1.5,0,1,1,1
2015-10-05,Ericeira,38.97354,-9.40167,Private room,2,26.0,5,1125,0,0,318,0,0,2015-10-27,2021-09-11,4.92,4.74,1,3.79,1.0,0,1,1,1
2012-05-14,Misericrdia,38.71289,-9.14536,Entire home/apt,4,89.0,3,1125,0,220,89,18,3,2015-10-26,2022-09-10,4.45,4.81,55,1.06,1.0,0,1,1,0
2013-02-10,Parque das Naes,38.79168,-9.09849,Entire home/apt,3,171.0,1,1125,0,121,5,2,0,2017-11-12,2022-06-08,4.4,4.4,21,0.08,1.0,0,1,0,1
2015-10-18,Cascais e Estoril,38.70312,-9.43788,Entire home/apt,4,99.0,2,365,1,121,4,3,0,2016-05-11,2021-11-20,4.5,4.5,2,0.05,1.0,0,1,1,1
2015-08-12,Santa Maria Maior,38.71543,-9.13676,Private room,1,32.0,2,5,1,280,102,8,1,2016-04-07,2022-09-10,4.89,4.92,2,1.3,1.0,0,0,1,1
2015-10-19,Arroios,38.72849,-9.14142,Entire home/apt,5,146.0,5,30,6,66,115,32,2,2015-11-17,2022-09-10,4.9,4.73,1,1.38,2.0,0,0,1,1
2015-10-18,So Vicente,38.71852,-9.12393,Entire home/apt,4,69.0,2,1125,1,296,313,45,3,2015-12-09,2022-08-26,4.84,4.65,1,3.8,1.0,0,1,0,0
2011-06-20,So Vicente,38.72074,-9.12963,Entire home/apt,2,115.0,3,1125,16,351,50,19,2,2015-11-25,2022-09-04,4.72,4.69,3,0.6,1.0,0,1,0,1
2015-11-03,Carcavelos e Parede,38.68941,-9.35711,Entire home/apt,4,55.0,5,180,0,319,95,13,2,2016-05-01,2022-08-30,4.72,4.61,1,1.22,1.0,0,1,1,0
2015-10-08,Misericrdia,38.71309,-9.14431,Entire home/apt,6,125.0,2,31,1,265,83,16,0,2016-01-02,2022-07-31,4.77,4.87,19,1.02,1.0,1,1,0,1
2014-04-28,Misericrdia,38.71378,-9.14685,Entire home/apt,6,159.0,3,60,9,328,235,13,6,2016-02-13,2022-09-03,4.87,4.93,8,2.93,1.0,0,1,1,1
2014-11-22,Misericrdia,38.70838,-9.14822,Entire home/apt,4,165.0,3,1125,4,331,129,12,3,2016-01-03,2022-09-12,4.85,4.9,9,1.58,2.0,1,1,0,0
2015-04-15,Estrela,38.70699,-9.15538,Entire home/apt,12,132.0,5,1125,0,76,61,3,0,2016-04-10,2022-08-04,4.6,4.81,1,0.78,2.0,0,1,1,1
2012-07-15,Arroios,38.72103,-9.1337,Entire home/apt,5,88.0,2,1125,0,309,207,38,4,2016-03-30,2022-09-07,4.79,4.52,1,2.63,1.0,0,1,0,1
2015-11-21,So Vicente,38.71815,-9.12759,Entire home/apt,6,130.0,3,90,2,320,141,25,2,2016-01-01,2022-08-21,4.8,4.76,3,1.73,2.0,0,1,1,1
2013-02-10,Parque das Naes,38.7563417,-9.0982377,Entire home/apt,3,180.0,1,1125,0,123,39,13,0,2016-02-21,2022-07-24,4.64,4.71,21,0.49,1.0,0,1,0,1
2014-11-24,Areeiro,38.74231,-9.14159,Entire home/apt,4,103.0,2,1000,6,128,8,4,0,2016-03-19,2022-01-31,4.13,4.5,11,0.1,1.0,0,1,0,1
2012-10-23,Santa Maria Maior,38.71207,-9.12647,Entire home/apt,4,153.0,1,1125,3,311,27,11,1,2016-01-01,2022-08-30,4.3,4.44,292,0.33,1.0,0,1,0,1
2015-10-01,Santa Maria Maior,38.71531,-9.13317,Private room,3,44.0,1,1125,1,312,522,130,9,2015-11-01,2022-09-10,4.68,4.71,2,6.24,1.0,0,1,1,1
2012-05-14,Arroios,38.72578,-9.13494,Entire home/apt,6,106.0,3,1125,7,317,63,16,2,2016-03-09,2022-09-10,4.65,4.68,55,0.79,1.0,0,1,1,0
2014-03-14,Santa Maria Maior,38.71051,-9.12789,Entire home/apt,5,112.0,2,365,7,302,158,20,1,2015-11-01,2022-08-19,4.77,4.9,1,1.89,1.0,0,1,0,1
2013-03-15,Estrela,38.70961,-9.16643,Private room,1,39.0,3,1125,0,226,2,0,0,2016-09-01,2017-07-29,4.5,4.0,11,0.03,1.0,0,1,0,0
2012-10-04,Misericrdia,38.71501,-9.15364,Entire home/apt,2,115.0,3,31,6,341,329,49,6,2015-12-11,2022-09-12,4.67,4.72,14,4.0,1.0,0,1,0,1
2013-09-26,Misericrdia,38.71132,-9.14721,Entire home/apt,2,66.0,3,1125,6,323,131,33,4,2015-12-29,2022-09-07,4.09,4.83,1,1.6,1.0,0,0,0,0
2015-11-24,Santa Maria Maior,38.70911,-9.13596,Entire home/apt,3,215.0,2,1125,11,346,16,10,0,2016-09-10,2022-07-24,4.88,4.94,4,0.22,1.0,1,1,0,1
2015-10-22,Misericrdia,38.71003,-9.14931,Entire home/apt,4,92.0,5,360,1,270,72,11,1,2015-12-09,2022-09-06,4.78,4.83,1,0.87,2.0,0,1,0,1
2013-03-15,Estrela,38.70967,-9.16662,Private room,1,38.0,3,1125,0,256,3,1,0,2016-06-02,2021-10-31,4.5,5.0,11,0.04,0.5,0,1,0,0
2015-11-26,Santo Antnio,38.7239,-9.14806,Private room,2,70.0,1,28,8,343,10,6,3,2016-07-11,2022-08-25,4.6,4.7,7,0.13,2.0,0,0,1,0
2015-06-02,Arroios,38.72743,-9.13268,Entire home/apt,4,148.0,1,1125,10,345,34,8,2,2016-02-10,2022-09-04,4.62,4.35,41,0.42,1.5,0,1,0,1
2012-04-07,Belm,38.69793,-9.19803,Entire home/apt,3,142.0,5,1124,0,298,46,7,1,2017-08-14,2022-08-17,4.65,4.93,1,0.74,2.0,0,1,0,1
2015-10-13,Arroios,38.71724,-9.13905,Entire home/apt,2,42.0,2,1125,5,288,32,25,3,2016-03-23,2022-08-24,4.56,4.69,7,0.41,1.0,0,1,0,1
2013-03-15,Estrela,38.70967,-9.16662,Private room,1,36.0,3,1125,0,106,2,1,0,2021-09-06,2022-04-30,3.5,4.0,11,0.16,0.5,0,1,0,0
2015-10-24,Santa Maria Maior,38.711,-9.13258,Entire home/apt,2,66.0,1,35,2,124,242,51,3,2016-02-10,2022-08-30,4.46,4.84,1,3.01,1.0,0,0,0,1
2015-11-27,Misericrdia,38.71269,-9.14385,Entire home/apt,3,95.0,6,1124,0,52,213,28,1,2016-01-03,2022-08-28,4.82,4.85,2,2.61,1.0,1,1,1,1
2015-11-10,Ericeira,38.96182,-9.41708,Shared room,4,37.0,1,365,30,94,2,0,0,2019-08-09,2020-03-07,5.0,5.0,7,0.05,1.0,0,0,0,0
2014-04-15,Parque das Naes,38.76209,-9.10109,Entire home/apt,4,171.0,2,1125,6,301,56,3,1,2016-01-02,2022-09-12,4.93,4.66,1,0.69,1.0,1,1,0,0
2013-02-10,Parque das Naes,38.79168,-9.09849,Entire home/apt,3,162.0,1,1125,24,189,24,4,0,2015-12-31,2021-11-05,4.5,4.75,21,0.29,1.0,0,1,0,1
2014-11-26,Ericeira,38.96065,-9.41752,Entire home/apt,4,89.0,3,25,9,83,17,4,1,2016-08-16,2022-09-09,5.0,5.0,2,0.23,1.0,0,1,0,1
2015-10-08,Santo Antnio,38.72301,-9.14457,Entire home/apt,6,159.0,2,1125,4,260,34,5,1,2016-01-05,2022-09-12,4.91,4.82,1,0.42,2.0,1,1,1,1
2015-10-27,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8228,-9.43355,Private room,1,29.0,1,1125,6,336,201,38,4,2015-12-12,2022-08-22,4.72,4.74,5,2.44,2.0,0,0,1,1
2015-11-10,Ericeira,38.96318,-9.41681,Private room,2,104.0,1,365,7,67,7,1,0,2016-07-11,2022-08-04,4.67,5.0,7,0.09,1.0,0,0,1,0
2015-11-15,Santa Maria Maior,38.70993,-9.13247,Entire home/apt,5,90.0,1,1125,2,91,418,4,4,2015-12-08,2022-09-12,4.82,4.94,1,5.07,1.0,0,1,0,1
2011-06-11,Cascais e Estoril,38.69938,-9.42407,Entire home/apt,2,133.0,1,1125,0,250,44,11,0,2016-05-31,2022-08-07,4.57,4.86,37,0.57,1.0,1,1,0,1
2016-11-29,Arroios,38.72302,-9.13288,Entire home/apt,2,70.0,2,30,1,312,209,46,5,2016-04-20,2022-09-09,4.8,4.61,15,2.68,1.0,0,1,0,1
2014-09-10,Santa Maria Maior,38.71302,-9.13592,Entire home/apt,4,96.0,3,500,1,239,14,10,0,2019-01-04,2022-07-03,4.79,4.86,2,0.31,1.0,0,1,1,1
2015-04-30,Santa Maria Maior,38.71175,-9.12916,Entire home/apt,2,96.0,2,1125,1,128,554,90,9,2015-11-16,2022-09-11,4.94,4.93,5,6.66,1.0,0,1,0,0
2015-11-10,Ericeira,38.96263,-9.41743,Shared room,6,35.0,1,365,1,65,2,0,0,2019-06-09,2021-08-04,5.0,5.0,7,0.05,1.0,0,0,0,0
2015-05-25,Estrela,38.70537,-9.16431,Entire home/apt,4,63.0,3,1125,3,291,104,9,2,2016-03-17,2022-09-05,4.83,4.76,1,1.31,1.0,0,1,0,0
2015-10-13,Arroios,38.71546,-9.13895,Entire home/apt,2,92.0,2,1125,19,354,13,12,1,2019-03-25,2022-08-28,4.38,4.62,7,0.31,1.0,0,1,0,1
2011-06-11,Cascais e Estoril,38.69859,-9.43792,Entire home/apt,4,164.0,1,1125,18,335,15,7,1,2018-04-06,2022-08-27,4.8,4.93,37,0.28,1.5,0,1,0,1
2012-09-30,Santa Maria Maior,38.70952,-9.12845,Entire home/apt,2,168.0,2,1125,9,327,360,46,2,2015-12-01,2022-08-25,4.75,4.9,11,4.35,1.0,0,1,1,0
2013-09-15,Santa Maria Maior,38.71107,-9.12891,Entire home/apt,3,111.0,1,1125,10,179,10,5,1,2017-07-11,2022-08-16,4.5,5.0,7,0.16,1.0,1,1,0,0
2015-12-17,Santo Antnio,38.71733,-9.14644,Entire home/apt,4,85.0,3,1125,1,251,115,35,2,2016-07-09,2022-08-20,4.86,4.97,3,1.53,1.0,1,1,1,1
2013-09-15,Arroios,38.72856,-9.14353,Entire home/apt,5,144.0,1,1125,5,67,9,6,0,2017-06-10,2022-08-07,4.78,4.56,7,0.14,2.0,1,1,0,0
2015-11-17,Lumiar,38.75884,-9.16751,Entire home/apt,4,120.0,7,200,2,36,89,10,2,2016-05-10,2022-08-27,4.8,4.83,1,1.15,2.0,0,0,1,1
2015-11-10,Ericeira,38.9612,-9.41724,Shared room,4,37.0,1,365,30,94,3,1,1,2018-08-25,2022-08-16,4.0,4.67,7,0.06,1.0,0,0,0,0
2016-05-16,Carnide,38.76559,-9.18162,Entire home/apt,4,69.0,7,90,4,38,52,9,1,2016-01-09,2022-09-09,4.6,4.46,3,0.64,1.0,0,1,1,0
2015-11-17,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79846,-9.42542,Entire home/apt,4,60.0,5,30,0,196,74,13,0,2016-04-30,2022-08-12,4.82,4.85,1,0.95,1.0,1,1,1,1
2012-09-07,Arroios,38.71678,-9.13959,Entire home/apt,6,75.0,3,90,6,276,10,3,1,2016-04-30,2022-09-04,4.33,4.11,4,0.13,1.0,1,1,0,0
2014-10-31,Santo Antnio,38.71682,-9.14967,Entire home/apt,4,163.0,2,1125,3,3,85,16,4,2016-04-02,2022-08-31,4.94,4.95,1,1.08,1.0,0,1,1,1
2012-10-17,Santa Maria Maior,38.71314,-9.12822,Entire home/apt,2,67.0,2,1125,4,318,17,17,2,2022-02-25,2022-09-04,4.59,4.94,2,2.52,1.0,1,0,0,1
2014-12-29,Misericrdia,38.71277,-9.14604,Entire home/apt,4,50.0,2,1125,1,129,22,12,0,2015-12-01,2022-07-29,4.22,4.82,1,0.27,1.0,0,1,0,0
2013-02-04,Estrela,38.70861,-9.15593,Entire home/apt,4,55.0,7,1125,0,0,124,3,0,2016-02-29,2021-10-29,4.8,4.82,2,1.56,1.0,0,1,1,1
2015-05-13,Misericrdia,38.71216,-9.14378,Entire home/apt,2,57.0,4,28,4,21,55,42,0,2016-04-22,2022-08-08,4.76,4.93,13,0.71,1.0,0,1,0,1
2015-12-19,Misericrdia,38.70865,-9.14659,Entire home/apt,7,117.0,2,1125,3,212,146,14,1,2016-01-03,2022-09-01,4.69,4.83,3,1.79,2.0,1,1,1,0
2015-11-19,Santa Maria Maior,38.71201,-9.12761,Entire home/apt,4,71.0,3,1125,2,78,28,11,3,2016-02-17,2022-09-04,4.18,4.82,7,0.35,1.5,0,1,0,1
2015-11-19,Santa Maria Maior,38.711872,-9.127408,Entire home/apt,2,65.0,3,1125,3,316,51,20,2,2016-01-07,2022-09-03,4.34,4.64,7,0.63,1.0,0,1,0,1
2015-11-19,Santa Maria Maior,38.71201,-9.12761,Entire home/apt,4,95.0,3,1125,6,324,16,0,0,2016-01-03,2019-05-07,4.13,4.53,7,0.2,2.0,0,1,0,1
2012-05-23,Santa Maria Maior,38.71646,-9.13678,Entire home/apt,4,191.0,4,45,0,193,355,55,6,2016-01-26,2022-09-10,4.92,4.89,13,4.39,1.0,0,1,0,1
2011-06-21,Santa Maria Maior,38.71244,-9.12548,Entire home/apt,4,94.0,4,1125,1,67,220,37,4,2016-01-01,2022-09-04,4.74,4.89,8,2.7,1.0,0,1,1,1
2015-11-10,Ericeira,38.96176,-9.41757,Private room,2,84.0,1,365,16,73,5,0,0,2016-01-02,2017-06-17,4.2,4.2,7,0.06,1.0,0,0,0,0
2011-08-28,Misericrdia,38.71079,-9.14995,Entire home/apt,7,110.0,3,180,4,322,239,60,3,2016-01-11,2022-09-08,4.63,4.85,21,2.94,1.0,0,1,0,0
2015-12-05,Belm,38.69898,-9.19443,Entire home/apt,6,89.0,1,60,5,96,44,13,1,2016-04-15,2022-08-29,4.62,4.76,1,0.56,1.0,0,1,0,0
2015-11-19,Santo Antnio,38.72206,-9.14515,Entire home/apt,4,82.0,2,1125,0,305,317,9,3,2016-04-13,2022-09-11,4.87,4.8,1,4.05,1.0,0,1,1,0
2015-12-20,Alvalade,38.75935,-9.13978,Entire home/apt,4,86.0,1,30,0,255,31,0,0,2016-03-21,2020-12-23,4.13,4.48,22,0.39,1.0,0,1,1,0
2015-01-10,Santa Maria Maior,38.711479,-9.129996,Entire home/apt,4,105.0,4,7,2,271,16,16,6,2022-05-16,2022-09-12,4.88,4.94,1,3.93,1.0,0,1,1,0
2015-12-05,A dos Cunhados e Maceira,39.17489,-9.35427,Entire home/apt,4,55.0,5,1125,1,319,4,1,1,2018-07-31,2022-08-20,4.75,4.75,1,0.08,1.0,0,1,0,0
2015-12-20,Alvalade,38.75452,-9.13837,Entire home/apt,6,75.0,1,30,0,0,50,0,0,2016-03-21,2020-12-29,4.49,4.82,22,0.63,1.0,1,1,0,1
2012-05-27,So Vicente,38.71506,-9.12793,Entire home/apt,6,120.0,2,1125,9,63,126,13,1,2016-01-19,2022-09-01,4.38,4.74,11,1.55,1.0,0,1,1,1
2014-08-22,Santa Maria Maior,38.71558,-9.13383,Private room,3,63.0,2,1000,1,136,45,0,0,2016-01-08,2019-10-05,4.6,4.95,8,0.55,1.0,0,0,0,0
2012-11-02,Misericrdia,38.71027,-9.14734,Entire home/apt,3,124.0,2,45,1,315,395,80,8,2015-12-13,2022-09-12,4.94,4.97,24,4.8,1.0,1,1,0,1
2013-03-01,So Vicente,38.71412,-9.13022,Entire home/apt,2,130.0,3,1125,2,219,195,18,1,2016-01-05,2022-08-30,4.81,4.9,3,2.39,1.0,0,1,0,1
2012-11-02,Misericrdia,38.71247,-9.14548,Entire home/apt,3,106.0,2,30,4,297,392,77,6,2016-01-13,2022-09-11,4.96,4.96,24,4.83,1.0,1,1,0,1
2016-01-11,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79741,-9.39012,Entire home/apt,4,79.0,2,270,9,318,58,13,1,2016-04-09,2022-08-14,4.88,4.98,2,0.74,1.0,0,1,1,0
2015-02-12,So Vicente,38.72042,-9.12834,Entire home/apt,4,169.0,3,30,7,305,69,15,0,2016-02-11,2022-08-10,4.91,4.54,4,0.86,1.0,1,1,1,1
2015-03-29,So Vicente,38.71534,-9.12937,Entire home/apt,4,49.0,4,1125,0,245,173,7,0,2015-12-17,2021-11-11,4.16,4.64,1,2.11,1.0,0,1,0,1
2011-08-03,Santa Maria Maior,38.71405,-9.14186,Entire home/apt,3,128.0,3,360,6,331,62,12,3,2016-03-30,2022-08-29,4.84,4.98,16,0.79,1.0,0,0,0,1
2015-10-13,Arroios,38.71574,-9.13923,Entire home/apt,2,70.0,2,1125,3,325,27,21,3,2016-02-24,2022-08-30,4.59,4.81,7,0.34,1.0,0,1,0,0
2013-12-07,Santa Maria Maior,38.71166,-9.12727,Entire home/apt,8,192.0,2,1125,8,321,248,41,1,2016-04-20,2022-08-18,4.93,4.88,19,3.18,1.0,0,1,0,1
2016-01-12,Ajuda,38.70496,-9.19864,Entire home/apt,2,82.0,4,60,12,12,67,14,2,2016-03-06,2022-09-11,4.55,4.52,1,0.84,1.0,0,0,0,1
2016-01-12,Ericeira,38.96238,-9.41761,Entire home/apt,5,99.0,6,1125,24,327,4,3,1,2021-08-28,2022-09-04,5.0,5.0,1,0.31,2.0,0,1,1,0
2010-09-09,Cascais e Estoril,38.69644,-9.42355,Entire home/apt,4,135.0,2,1125,0,124,44,13,2,2016-02-04,2022-08-31,4.49,4.88,2,0.55,1.0,0,1,0,0
2015-12-07,Santa Maria Maior,38.71175,-9.12852,Entire home/apt,2,44.0,3,7,0,0,91,16,0,2016-01-02,2022-07-31,4.68,4.88,3,1.12,1.0,1,1,0,0
2013-09-26,Arroios,38.71608,-9.13759,Entire home/apt,4,89.0,3,360,3,315,169,38,2,2016-04-01,2022-08-31,4.85,4.86,3,2.15,1.0,1,1,1,0
2013-08-09,Santo Antnio,38.71559,-9.15015,Entire home/apt,5,190.0,2,180,6,160,237,17,2,2016-02-15,2022-08-30,4.86,4.91,26,2.96,1.0,1,1,0,1
2011-08-03,Arroios,38.72531,-9.13265,Entire home/apt,9,219.0,2,360,1,266,97,17,1,2016-03-30,2022-08-25,4.87,4.64,16,1.23,3.0,1,1,0,1
2014-07-13,Santa Maria Maior,38.71398,-9.1396,Entire home/apt,4,76.0,1,1125,1,143,391,48,3,2016-01-31,2022-08-27,4.55,4.82,12,4.85,1.0,0,1,0,0
2011-06-11,Cascais e Estoril,38.69848,-9.42271,Entire home/apt,2,152.0,1,1125,3,165,45,4,0,2016-05-20,2022-07-07,4.8,4.98,37,0.58,1.0,1,1,0,1
2013-02-10,Parque das Naes,38.77466,-9.09788,Entire home/apt,4,202.0,1,1125,16,179,33,15,0,2015-12-11,2022-07-21,4.33,4.48,21,0.4,1.0,1,1,0,1
2013-11-17,Misericrdia,38.71485,-9.15226,Entire home/apt,5,140.0,3,30,5,28,253,38,3,2016-01-31,2022-08-31,4.89,4.85,3,3.14,1.0,0,1,0,1
2015-09-13,Santa Maria Maior,38.709892,-9.136024,Entire home/apt,4,200.0,2,365,3,267,43,43,3,2021-11-20,2022-09-02,4.93,4.98,1,4.31,1.0,0,1,1,0
2015-10-11,Belm,38.69692,-9.19074,Entire home/apt,5,95.0,7,120,19,340,141,0,0,2016-02-13,2020-08-05,4.75,4.76,1,1.76,1.0,1,1,0,1
2015-11-26,Santo Antnio,38.72316,-9.14522,Private room,2,70.0,1,28,18,353,5,2,0,2016-10-07,2022-08-14,4.6,4.8,7,0.07,2.0,0,0,1,0
2011-06-14,Santa Maria Maior,38.70841,-9.12953,Entire home/apt,4,85.0,2,30,5,264,35,17,0,2016-07-19,2022-08-11,4.63,4.97,9,0.47,1.0,0,1,0,1
2015-12-07,Santo Antnio,38.71647,-9.15113,Entire home/apt,2,110.0,3,15,3,195,24,0,0,2016-06-14,2020-01-02,4.91,4.87,1,0.32,1.5,0,1,1,1
2015-12-28,Campo de Ourique,38.72042,-9.16019,Private room,1,48.0,20,32,2,2,59,3,1,2016-06-24,2022-09-01,4.68,4.69,16,0.78,1.0,0,0,0,1
2015-09-20,Santa Maria Maior,38.71248,-9.12885,Entire home/apt,4,90.0,14,1125,0,328,2,1,1,2021-03-15,2022-08-15,5.0,5.0,2,0.11,1.0,0,1,0,1
2015-12-10,Santo Isidoro,38.98984327302183,-9.404963526265703,Private room,2,30.0,2,30,12,153,47,0,0,2016-07-05,2020-09-15,4.63,4.7,3,0.62,2.0,0,1,1,1
2015-12-10,Cascais e Estoril,38.69896,-9.42273,Entire home/apt,9,150.0,5,1125,2,161,148,27,2,2016-04-09,2022-09-03,4.86,4.9,1,1.89,3.5,0,1,1,0
2015-12-28,Santo Antnio,38.72261,-9.15507,Private room,1,64.0,120,135,0,92,101,1,0,2016-06-15,2021-11-27,4.77,4.77,16,1.33,1.0,0,1,0,1
2015-10-13,Arroios,38.71553,-9.13892,Entire home/apt,2,65.0,2,1125,6,333,29,20,2,2016-03-13,2022-08-30,4.52,4.48,7,0.37,1.0,0,1,0,1
2015-12-28,Santo Antnio,38.72414,-9.1529,Private room,1,64.0,21,30,0,0,115,3,0,2016-03-26,2022-08-04,4.61,4.63,16,1.46,1.0,0,0,0,1
2015-12-11,Massam e Monte Abrao,38.76497,-9.26427,Entire home/apt,4,58.0,3,1125,14,349,12,4,0,2019-04-08,2022-04-30,4.09,4.27,1,0.29,1.0,0,1,1,1
2015-12-29,Santa Maria Maior,38.71057,-9.12821,Entire home/apt,8,100.0,2,1125,7,48,183,22,2,2016-02-15,2022-08-21,4.75,4.92,3,2.28,1.0,0,1,0,1
2014-10-21,So Vicente,38.72004,-9.13007,Entire home/apt,2,118.0,3,1125,1,310,16,7,1,2016-03-26,2022-08-26,4.69,4.63,7,0.2,1.5,1,1,1,1
2015-02-10,Misericrdia,38.71016,-9.14934,Entire home/apt,4,84.0,3,1125,3,244,169,15,1,2016-01-04,2022-08-29,4.85,4.92,5,2.07,1.0,1,1,1,1
2015-12-10,Santo Isidoro,38.98991198971844,-9.40493877632084,Private room,4,30.0,3,30,21,171,27,0,0,2016-05-16,2020-11-20,4.59,4.7,3,0.35,2.0,1,1,1,1
2016-01-17,Misericrdia,38.70958,-9.14886,Entire home/apt,6,74.0,2,45,1,243,164,50,7,2016-06-06,2022-09-09,4.79,4.8,1,2.15,1.0,0,1,1,1
2015-03-09,So Vicente,38.72014,-9.12784,Entire home/apt,7,120.0,4,45,13,342,100,9,2,2016-03-19,2022-09-13,4.93,4.68,1,1.27,1.0,0,1,0,0
2016-01-02,Santo Antnio,38.71757,-9.15498,Entire home/apt,4,114.0,3,120,0,325,133,9,2,2016-01-27,2022-09-03,4.65,4.64,1,1.65,1.0,0,1,0,1
2015-11-26,Santo Antnio,38.72325,-9.14557,Private room,2,70.0,2,28,19,354,8,3,2,2016-07-06,2022-08-30,3.86,4.29,7,0.11,2.0,0,0,0,0
2015-05-12,Colares,38.80038,-9.43132,Entire home/apt,2,150.0,6,30,5,326,26,0,0,2016-07-16,2020-09-04,4.85,4.85,2,0.35,1.0,0,1,1,1
2016-01-03,Santo Isidoro,38.99743,-9.40475,Private room,5,189.0,1,1125,2,14,6,0,0,2016-06-30,2021-03-18,5.0,4.6,8,0.08,1.5,0,0,0,1
2015-12-14,Santa Maria Maior,38.71289,-9.12815,Entire home/apt,4,78.0,2,20,2,31,262,4,3,2016-02-07,2022-08-20,4.42,4.85,2,3.26,1.0,0,1,0,1
2015-12-14,Santa Maria Maior,38.71341,-9.12738,Entire home/apt,2,41.0,2,1125,3,33,287,32,3,2016-01-02,2022-08-27,4.38,4.85,2,3.52,1.0,0,1,0,0
2012-09-07,Arroios,38.71682,-9.13925,Entire home/apt,3,60.0,2,90,1,133,17,0,0,2016-02-15,2019-04-28,4.65,4.44,4,0.21,1.0,0,1,0,0
2013-08-09,Misericrdia,38.71393,-9.14684,Entire home/apt,7,219.0,2,180,12,168,225,15,2,2016-01-19,2022-09-06,4.6,4.85,26,2.78,1.0,0,1,0,1
